Benchmark,Base,Changed
2to3,0.47391,0.34338
async_generators,0.58330,0.61525
async_tree_cpu_io_mixed,1.32,0.87682
async_tree_eager,0.94271,0.14497
async_tree_eager_cpu_io_mixed,1.32,0.50489
async_tree_eager_io,2.22,1.41
async_tree_eager_memoization,1.14,0.33387
async_tree_io,2.19,1.30
async_tree_memoization,1.14,0.71565
async_tree_none,0.93164,0.57475
asyncio_tcp,1.04,0.59354
asyncio_tcp_ssl,3.54,2.16
asyncio_websockets,0.66674,0.67423
bench_mp_pool,0.03965,0.00663
bench_thread_pool,0.00143,0.00124
chameleon,0.01344,0.00892
chaos,0.17731,0.08223
comprehensions,0.00004153,0.00002759
coroutines,0.06543,0.03032
coverage,0.07548,0.08044
create_gc_cycles,0.00151,0.00129
crypto_pyaes,0.18041,0.09826
dask,0.78554,0.64451
deepcopy,0.00065336,0.00047413
deepcopy_memo,0.00007687,0.00005143
deepcopy_reduce,0.00000575,0.00000431
deltablue,0.01185,0.00432
docutils,4.34,3.38
dulwich_log,0.12732,0.09583
fannkuch,0.72119,0.51787
float,0.17946,0.10901
gc_traversal,0.00396,0.00409
generators,0.08020,0.04095
genshi_text,0.04543,0.03075
genshi_xml,0.09108,0.06677
go,0.38704,0.16840
hexiom,0.01501,0.00768
html5lib,0.13166,0.07627
json_dumps,0.01814,0.01325
json_loads,0.00003582,0.00003298
logging_format,0.00001460,0.00000898
logging_silent,0.00000030586,0.00000013839
logging_simple,0.00001325,0.00000817
mako,0.02404,0.01359
mdp,4.10,3.42
meteor_contest,0.15608,0.13516
nbody,0.21895,0.12202
nqueens,0.15494,0.11039
pathlib,0.02993,0.02734
pickle,0.00001205,0.00001240
pickle_dict,0.00003383,0.00003495
pickle_list,0.00000507,0.00000505
pickle_pure_python,0.00068458,0.00038495
pidigits,0.21882,0.21611
pprint_pformat,2.16,2.03
pyflate,1.05,0.57140
python_startup,0.01250,0.01167
python_startup_no_site,0.00810,0.00874
raytrace,0.80798,0.39378
regex_compile,0.27538,0.17804
regex_dna,0.24912,0.22115
regex_effbot,0.00394,0.00402
regex_v8,0.03181,0.02609
richards,0.10810,0.05598
richards_super,0.13062,0.06405
scimark_fft,0.60960,0.47691
scimark_lu,0.25415,0.15525
scimark_monte_carlo,0.16989,0.09233
scimark_sor,0.30365,0.16430
scimark_sparse_mat_mult,0.00827,0.00599
spectral_norm,0.22244,0.14335
sqlalchemy_declarative,0.22545,0.21154
sqlalchemy_imperative,0.03699,0.03135
sqlglot_normalize,0.20536,0.14687
sqlglot_optimize,0.09800,0.07227
sqlglot_parse,0.00338,0.00168
sqlglot_transpile,0.00391,0.00205
sqlite_synth,0.00000420,0.00000323
sympy_expand,0.83839,0.62240
sympy_integrate,0.03448,0.02596
sympy_str,0.49687,0.37973
sympy_sum,0.27177,0.21298
telco,0.00942,0.00902
tomli_loads,3.94,2.71
tornado_http,0.22090,0.15633
typing_runtime_protocols,0.00080283,0.00016119
unpack_sequence,0.00000007029,0.00000005180
unpickle,0.00001883,0.00001948
unpickle_list,0.00000599,0.00000655
unpickle_pure_python,0.00049963,0.00027743
xml_etree_generate,0.13715,0.11563
xml_etree_iterparse,0.14939,0.13587
xml_etree_parse,0.20554,0.18832
xml_etree_process,0.11086,0.07841
