Benchmark,Base,Changed
2to3,0.53068,0.52993
async_generators,0.79463,0.79921
async_tree_cpu_io_mixed,0.90213,0.89318
async_tree_eager,0.51894,0.51785
async_tree_eager_cpu_io_mixed,0.88950,0.88864
async_tree_eager_io,1.14,1.13
async_tree_eager_memoization,0.64007,0.63992
async_tree_io,1.14,1.14
async_tree_memoization,0.63999,0.64115
async_tree_none,0.52705,0.52213
asyncio_tcp,0.93954,0.94059
asyncio_tcp_ssl,3.04,3.01
asyncio_websockets,0.66558,0.65996
bench_mp_pool,0.00574,0.00575
bench_thread_pool,0.00150,0.00150
chameleon,0.01208,0.01215
chaos,0.14211,0.14499
comprehensions,0.00004251,0.00004249
coroutines,0.09804,0.09805
coverage,1.12,1.12
create_gc_cycles,0.00216,0.00214
crypto_pyaes,0.16418,0.16263
deepcopy,0.00057852,0.00059326
deepcopy_memo,0.00005717,0.00005731
deepcopy_reduce,0.00000545,0.00000537
deltablue,0.00722,0.00718
docutils,5.91,5.90
dulwich_log,0.12767,0.12778
fannkuch,0.71352,0.71900
float,0.16055,0.16212
generators,0.09860,0.09807
genshi_text,0.06887,0.06964
genshi_xml,0.10737,0.10291
go,0.21409,0.21517
hexiom,0.00989,0.00999
html5lib,0.10657,0.10602
json_dumps,0.01847,0.01835
json_loads,0.00004421,0.00004422
logging_format,0.00001200,0.00001211
logging_silent,0.00000013390,0.00000013425
logging_simple,0.00001069,0.00001065
mako,0.02346,0.02367
mdp,4.56,4.59
meteor_contest,0.15567,0.15886
nbody,0.22685,0.22537
nqueens,0.16273,0.16321
pathlib,0.03258,0.03251
pickle,0.00001834,0.00001848
pickle_dict,0.00003437,0.00003435
pickle_list,0.00000513,0.00000506
pickle_pure_python,0.00046633,0.00046556
pidigits,0.23105,0.22977
pprint_pformat,2.21,2.20
pyflate,0.80411,0.80085
python_startup,0.01296,0.01300
python_startup_no_site,0.00840,0.00841
raytrace,0.62508,0.61923
regex_compile,0.29417,0.29676
regex_dna,0.24204,0.24170
regex_effbot,0.00413,0.00414
regex_v8,0.03211,0.03199
richards,0.05688,0.05749
richards_super,0.07555,0.07445
scimark_fft,0.57529,0.58004
scimark_lu,0.21392,0.21306
scimark_monte_carlo,0.15497,0.15513
scimark_sor,0.21946,0.21879
scimark_sparse_mat_mult,0.00787,0.00789
spectral_norm,0.18079,0.18064
sqlglot_normalize,0.22356,0.22469
sqlglot_optimize,0.09589,0.09647
sqlglot_parse,0.00307,0.00305
sqlglot_transpile,0.00347,0.00347
sqlite_synth,0.00000443,0.00000445
sympy_expand,0.77666,0.77195
sympy_integrate,0.03426,0.03418
sympy_str,0.48629,0.49326
sympy_sum,0.29414,0.29313
telco,0.01085,0.01112
tomli_loads,3.66,3.60
tornado_http,0.18762,0.18712
typing_runtime_protocols,0.00087602,0.00088713
unpack_sequence,0.00000006195,0.00000006171
unpickle,0.00002588,0.00002554
unpickle_list,0.00000735,0.00000730
unpickle_pure_python,0.00037835,0.00037510
xml_etree_generate,0.12228,0.12257
xml_etree_iterparse,0.12885,0.12849
xml_etree_parse,0.18741,0.18489
xml_etree_process,0.09666,0.09702
